atol, rtol = 1e-4, 1e-5
(problem.meta.name, problem.meta.nvar, problem.meta.ncon) = ("chain", 1000, 752)
┌─────────────────┬───────────┬───────────┬───────────┬────────────┬────────────┬─────────────┬────────────┬───────────┬─────────────┬──────────────┬────────┬──────────────┬─────────────┐
│           names │ objective │ dual_feas │ neval_obj │ neval_grad │ neval_hess │ neval_hprod │ neval_cons │ neval_jac │ neval_jprod │ neval_jtprod │   iter │ elapsed_time │      status │
├─────────────────┼───────────┼───────────┼───────────┼────────────┼────────────┼─────────────┼────────────┼───────────┼─────────────┼──────────────┼────────┼──────────────┼─────────────┤
│        percival │ -3.28e+03 │  6.20e+00 │      2089 │       2091 │          0 │      513396 │       2094 │         0 │      514150 │       516239 │      3 │     1.20e+02 │    max_time │
│   fps_trunk2_it │  5.15e+00 │  5.45e-02 │      4657 │       4658 │          0 │        3434 │       4658 │         0 │     5012316 │      5012743 │      2 │     3.02e+02 │    max_time │
│  fps_tron2_ldlt │  5.07e+00 │  3.59e-06 │      1413 │       1414 │          0 │       34943 │       1414 │      1413 │       10977 │        11983 │      2 │     7.28e+00 │ first_order │
│             dci │  5.07e+00 │  1.09e-04 │       256 │        256 │        170 │           0 │        630 │       170 │      258263 │       258263 │    170 │     1.55e+01 │ first_order │
│    fps_tron2_it │  1.82e+01 │  5.21e+03 │         6 │          6 │          0 │          88 │          6 │         0 │       46763 │        46768 │      1 │     2.89e+00 │     unknown │
│ fps_trunk2_ldlt │  5.07e+00 │  1.63e-06 │       639 │        640 │          0 │       35031 │        640 │       639 │       11499 │        11766 │      2 │     6.98e+00 │ first_order │
│           ipopt │  5.07e+00 │  1.07e-06 │         7 │          8 │          6 │           0 │          7 │         8 │           0 │            0 │      6 │     2.30e-02 │ first_order │
│ fps_ipopt2_ldlt │  1.82e+01 │  2.70e-02 │       294 │        294 │        342 │         348 │        294 │       464 │           0 │          174 │      1 │     3.02e+02 │    max_time │
│   fps_ipopt2_it │  1.82e+01 │  6.58e-02 │       333 │        333 │        316 │         322 │        333 │       158 │      399297 │       399458 │      1 │     3.02e+02 │    max_time │
└─────────────────┴───────────┴───────────┴───────────┴────────────┴────────────┴─────────────┴────────────┴───────────┴─────────────┴──────────────┴────────┴──────────────┴─────────────┘
(problem.meta.name, problem.meta.nvar, problem.meta.ncon) = ("channel", 1000, 1000)
┌─────────────────┬───────────┬───────────┬───────────┬────────────┬────────────┬─────────────┬────────────┬───────────┬─────────────┬──────────────┬────────┬──────────────┬─────────────┐
│           names │ objective │ dual_feas │ neval_obj │ neval_grad │ neval_hess │ neval_hprod │ neval_cons │ neval_jac │ neval_jprod │ neval_jtprod │   iter │ elapsed_time │      status │
├─────────────────┼───────────┼───────────┼───────────┼────────────┼────────────┼─────────────┼────────────┼───────────┼─────────────┼──────────────┼────────┼──────────────┼─────────────┤
│        percival │  1.00e+00 │  0.00e+00 │       669 │        666 │          0 │       28329 │        679 │         0 │       28329 │        28994 │      3 │     1.20e+02 │    max_time │
│   fps_trunk2_it │  1.00e+00 │  8.54e+04 │        50 │         50 │          0 │          73 │         50 │         0 │      760469 │       760526 │      1 │     3.08e+02 │    max_time │
